-40.0	5.0	1.0
-13.0	13.0	1.0
-75.0	75.0	5.0
0.0	0.0	-69.99937
x        y        z        Bx        By        Bz
-28 -9 -75 6.25442360093e-07 -1.26342431e-05 1.3097788919e-05
-27 -9 -75 2.27882356475e-07 -1.2665890547e-05 1.32025393573e-05
-26 -9 -75 -1.7770647658e-07 -1.2661752273e-05 1.32678544839e-05
-25 -9 -75 -5.9050938772e-07 -1.2621222765e-05 1.32934768548e-05
-24 -9 -75 -1.0098656088e-06 -1.2543658422e-05 1.32790318447e-05
-23 -9 -75 -1.4351745116e-06 -1.2428589004e-05 1.3223987064e-05
-22 -9 -75 -1.8658611144e-06 -1.2275470524e-05 1.31276544204e-05
-21 -9 -75 -2.3013315971e-06 -1.2084072414e-05 1.29891853968e-05
-20 -9 -75 -2.74090006e-06 -1.1853884463e-05 1.28075316225e-05
-19 -9 -75 -3.1836311926e-06 -1.1584697371e-05 1.25815628147e-05
-18 -9 -75 -3.6282734438e-06 -1.1275937198e-05 1.23100776501e-05
-17 -9 -75 -4.0732018342e-06 -1.0927627652e-05 1.19918909734e-05
-16 -9 -75 -4.5164212835e-06 -1.053997218e-05 1.16259768955e-05
-15 -9 -75 -4.9556664894e-06 -1.0113058996e-05 1.12114844657e-05
-14 -9 -75 -5.3883298967e-06 -9.6473716336e-06 1.07478554347e-05
-13 -9 -75 -5.8113906171e-06 -9.143550873e-06 1.0234957539e-05
-12 -9 -75 -6.2215201861e-06 -8.6025670243e-06 9.6729945507e-06
-11 -9 -75 -6.6152475957e-06 -8.0256728595e-06 9.06290292822e-06
-10 -9 -75 -6.9893233392e-06 -7.4147223641e-06 8.40627665918e-06
-9 -9 -75 -7.3369256695e-06 -6.7510446621e-06 7.68732079175e-06
-8 -9 -75 -7.6709614612e-06 -6.1025221093e-06 6.96033501322e-06
-7 -9 -75 -7.9640974826e-06 -5.4147416623e-06 6.18254973742e-06
-6 -9 -75 -8.2305527422e-06 -4.6863228613e-06 5.38142868172e-06
